,poa_global,poa_direct,poa_diffuse,poa_sky_diffuse,poa_ground_diffuse,temp_air
2020-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-01-01 00:30:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-01-01 01:30:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-01-01 02:30:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-01-01 03:30:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-01-01 04:30:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-01-01 05:30:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-01-01 06:30:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-01-01 07:30:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-01-01 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-01-01 08:30:00+00:00,0.522867002020643,0.09738253770241521,0.42548446431822773,0.42548446431822773,0.0,20.0
2020-01-01 09:00:00+00:00,17.844882389384463,8.189539965113351,9.655342424271112,9.655342424271112,0.0,20.0
2020-01-01 09:30:00+00:00,54.059094700666016,32.491795468118,21.567299232548017,21.567299232548017,0.0,20.0
2020-01-01 10:00:00+00:00,93.55458236321002,63.080484233474905,30.47409812973511,30.47409812973511,0.0,20.0
2020-01-01 10:30:00+00:00,128.75652277780003,92.11716975174369,36.63935302605634,36.63935302605634,0.0,20.0
2020-01-01 11:00:00+00:00,156.35176264059206,115.60802353209043,40.74373910850163,40.74373910850163,0.0,20.0
2020-01-01 11:30:00+00:00,174.69738633792974,131.48477325687844,43.2126130810513,43.2126130810513,0.0,20.0
2020-01-01 12:00:00+00:00,182.95418630024966,138.68663604324593,44.267550257003734,44.267550257003734,0.0,20.0
2020-01-01 12:30:00+00:00,180.79008412248498,136.7959137213836,43.99417040110137,43.99417040110137,0.0,20.0
2020-01-01 13:00:00+00:00,168.2899727340308,125.91912852833411,42.3708442056967,42.3708442056967,0.0,20.0
2020-01-01 13:30:00+00:00,145.97727545550552,106.71588351400585,39.26139194149967,39.26139194149967,0.0,20.0
2020-01-01 14:00:00+00:00,114.96891271731825,80.59871174909331,34.370200968224935,34.370200968224935,0.0,20.0
2020-01-01 14:30:00+00:00,77.43574411481983,50.27178648554699,27.163957629272836,27.163957629272836,0.0,20.0
2020-01-01 15:00:00+00:00,37.9708655910422,21.036781767540443,16.934083823501755,16.934083823501755,0.0,20.0
2020-01-01 15:30:00+00:00,7.388942551329509,2.6833825597273133,4.705559991602196,4.705559991602196,0.0,20.0
2020-01-01 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
