,poa_global,poa_direct,poa_diffuse,poa_sky_diffuse,poa_ground_diffuse,temp_air
2020-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,3.4336853
2020-01-01 00:30:00+00:00,0.0,0.0,0.0,0.0,0.0,3.4798126
2020-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,3.52594
2020-01-01 01:30:00+00:00,0.0,0.0,0.0,0.0,0.0,3.635666
2020-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,3.7453918
2020-01-01 02:30:00+00:00,0.0,0.0,0.0,0.0,0.0,3.932907
2020-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,4.1204224
2020-01-01 03:30:00+00:00,0.0,0.0,0.0,0.0,0.0,4.2151794
2020-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,4.3099365
2020-01-01 04:30:00+00:00,0.0,0.0,0.0,0.0,0.0,4.377762
2020-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,4.445587
2020-01-01 05:30:00+00:00,0.0,0.0,0.0,0.0,0.0,4.440613
2020-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,4.4356384
2020-01-01 06:30:00+00:00,0.0,0.0,0.0,0.0,0.0,4.4057007
2020-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,4.375763
2020-01-01 07:30:00+00:00,0.0,0.0,0.0,0.0,0.0,4.311676
2020-01-01 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,4.247589
2020-01-01 08:30:00+00:00,1.3856945037841797,0.0,1.3856945037841797,1.3856945037841797,0.0,4.2368774
2020-01-01 09:00:00+00:00,2.7713890075683594,0.0,2.7713890075683594,2.7713890075683594,0.0,4.226166
2020-01-01 09:30:00+00:00,17.808195114135742,0.0,17.808195114135742,17.808195114135742,0.0,4.3421173
2020-01-01 10:00:00+00:00,32.845001220703125,0.0,32.845001220703125,32.845001220703125,0.0,4.458069
2020-01-01 10:30:00+00:00,48.19000053405762,0.0,48.19000053405762,48.19000053405762,0.0,4.5348663
